127.0.0.1, 2013-07-25 21:05:06, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000752
127.0.0.1, 2013-07-25 21:05:06, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000641
127.0.0.1, 2013-07-25 21:05:06, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000604
127.0.0.1, 2013-07-25 21:05:06, GET, /favicon.ico, HTTP/1.1, 400, 0.001318
127.0.0.1, 2013-07-25 21:05:13, GET, /admin/default/edit/welcome/cron/crontab, HTTP/1.1, 200, 0.063944
127.0.0.1, 2013-07-25 21:05:13, GET, /admin/default/edit/welcome/cron/crontab, HTTP/1.1, 200, 0.045171
127.0.0.1, 2013-07-25 21:05:14, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.011545
127.0.0.1, 2013-07-25 21:05:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2013-07-25 21:05:18, GET, /admin/mercurial/commit/welcome, HTTP/1.1, 303, 0.011011
127.0.0.1, 2013-07-25 21:05:18, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.136994
127.0.0.1, 2013-07-25 21:05:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000532
127.0.0.1, 2013-08-03 11:11:51, GET, /, HTTP/1.1, 303, 0.033567
127.0.0.1, 2013-08-03 11:11:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.861031
127.0.0.1, 2013-08-03 11:11:52, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.005840
127.0.0.1, 2013-08-03 11:11:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005242
127.0.0.1, 2013-08-03 11:11:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003339
127.0.0.1, 2013-08-03 11:11:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002911
127.0.0.1, 2013-08-03 11:11:52, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.004177
127.0.0.1, 2013-08-03 11:11:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001081
127.0.0.1, 2013-08-03 11:11:52, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000815
127.0.0.1, 2013-08-03 11:11:53, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001796
127.0.0.1, 2013-08-03 11:11:53, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003213
127.0.0.1, 2013-08-03 11:11:53, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002247
127.0.0.1, 2013-08-03 11:11:53, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001152
127.0.0.1, 2013-08-03 11:11:53, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000765
127.0.0.1, 2013-08-03 11:11:53, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.013157
127.0.0.1, 2013-08-03 11:11:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.013174
127.0.0.1, 2013-08-03 11:11:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.012896
127.0.0.1, 2013-08-03 11:11:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000457
127.0.0.1, 2013-08-03 15:02:15, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000746
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/default/index, HTTP/1.1, 200, 0.878647
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.002499
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.003564
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002221
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003964
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.002189
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.005062
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000407
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000705
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001718
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001347
127.0.0.1, 2013-08-03 20:57:52, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001059
